student_id,student_name,parent_name,parent_email,address,gender,age,attendance_rate,study_hours_weekly,previous_grades,assignment_completion,class_participation,extra_curricular,library_visits,online_resource_hours,parent_education,family_income,internet_access,tutoring,mentor_support,stress_level,motivation_score,final_grade,performance_category,pass_fail,last_reported_at,reported_by,counselor_reported,added_by,created_at,updated_at
39,Sagolsem Premo,,,,Male,19,42.62,4.4,46.49,38.74,3.3,Yes,1,1.0,Bachelor,High,Yes,No,No,7.7,4.3,69.68,Below Average,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
40,Khumanthem Sunil,,,,Male,19,49.7,9.7,96.05,66.78,4.7,Yes,5,4.8,High School,High,Yes,No,Yes,9.2,6.2,99.78,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
41,Elangbam Bimol,,,,Male,20,41.25,6.2,90.99,37.66,7.1,No,3,13.7,Bachelor,Medium,Yes,No,Yes,1.3,9.1,105.35,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
42,Phuritshabam Sushil,,,,Male,17,79.2,9.6,50.26,44.2,3.0,No,4,1.7,Bachelor,Medium,Yes,Yes,No,4.3,4.7,83.9,Average,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
43,Elangbam Priyabala,,,,Female,19,59.94,16.2,84.83,99.88,6.4,Yes,2,4.9,Bachelor,Medium,Yes,Yes,Yes,3.0,8.3,120.29,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
44,Phuritshabam Bembem,,,,Female,21,72.55,2.0,86.23,67.9,7.3,Yes,0,17.1,Bachelor,Medium,Yes,Yes,Yes,8.3,4.9,93.9,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
45,Maibam Sanalembi,,,,Female,19,69.6,4.5,99.06,49.88,1.8,Yes,1,11.7,PhD,Low,Yes,No,No,8.6,7.3,88.06,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
46,Mutum Ongbi,,,,Female,19,44.89,5.1,71.85,99.63,5.5,No,1,1.4,High School,High,Yes,No,Yes,2.9,4.9,104.98,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
47,Tongbram Ibemhal,,,,Female,19,64.2,2.2,35.74,97.66,3.4,No,4,1.0,Master,Low,Yes,No,No,7.4,4.5,64.47,Below Average,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
48,Maibam Rishi,,,,Male,24,53.23,5.5,75.28,60.85,7.5,Yes,0,1.2,High School,Medium,No,No,Yes,7.6,9.9,84.23,Average,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
49,Leishangthem Memchoubi,,,,Female,24,65.1,6.1,73.75,48.23,2.7,Yes,2,18.8,Bachelor,High,Yes,No,Yes,2.6,6.5,90.94,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
50,Hijam Reena,,,,Female,17,52.21,1.0,74.68,88.69,9.0,No,3,17.0,Bachelor,Medium,Yes,No,No,4.9,4.3,93.86,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
51,Mutum Bhorot,,,,Male,15,90.43,10.7,51.5,80.09,4.9,No,3,16.9,Bachelor,Low,Yes,Yes,No,6.6,3.3,108.01,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
52,Sinam Sanatombi,,,,Female,19,50.45,3.9,90.18,78.09,2.8,Yes,3,18.5,Master,Low,No,No,Yes,1.2,1.4,72.8,Average,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
53,Tongbram Robichandra,,,,Male,23,97.65,5.7,97.16,92.52,4.9,No,1,10.1,Bachelor,Medium,No,No,No,4.6,7.4,103.6,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
54,Shamurailatpam Sunita,,,,Female,15,64.95,10.3,45.24,78.26,4.7,Yes,2,4.9,Bachelor,Medium,Yes,No,Yes,2.4,4.3,73.57,Average,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
55,Hijam Nandakumar,,,,Male,17,90.77,2.8,36.17,49.87,4.9,No,3,8.0,Master,Medium,Yes,Yes,Yes,5.9,8.4,78.79,Average,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
56,Konthoujam Bembem,,,,Female,18,77.73,5.8,43.62,78.57,6.3,No,4,14.4,High School,Medium,Yes,No,No,8.6,4.3,76.76,Average,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
57,Khundongbam Sanalembi,,,,Female,15,84.12,2.5,87.44,51.41,5.7,Yes,4,17.5,High School,High,Yes,No,Yes,5.7,4.4,69.87,Below Average,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
58,Sinam Ibotombi,,,,Male,15,86.06,5.7,77.37,83.15,2.3,Yes,1,8.7,High School,Low,Yes,No,No,1.3,8.0,125.07,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
59,Konthoujam Dhananjoy,,,,Male,22,70.29,4.9,74.52,73.38,1.6,No,0,10.7,High School,Medium,Yes,No,Yes,1.3,5.4,78.83,Average,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
60,Khundongbam Nilachandra,,,,Male,16,72.6,8.1,58.13,35.42,7.6,Yes,3,18.6,Bachelor,Medium,No,No,No,6.4,9.0,93.4,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
61,Angom Birachandra,,,,Male,22,70.84,5.2,70.45,65.9,6.0,No,4,2.1,Bachelor,Low,Yes,No,No,4.0,6.3,91.33,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
62,Loitongbam Romesh,,,,Male,21,75.28,2.3,51.55,54.03,4.2,No,0,17.2,High School,Low,Yes,Yes,No,6.2,3.2,79.62,Average,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
63,Potsangbam Ibohal,,,,Male,24,41.76,1.9,63.4,53.0,8.3,No,1,3.2,High School,High,Yes,No,Yes,2.5,6.1,79.82,Average,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
64,Rajkumar Sanajaoba,Rajkumar Devi,parent64@example.com,45 Market Rd,Imphal,Male,24,63.73,1.9,85.51,72.16,4.5,Yes,4,9.7,Master,High,Yes,No,No,8.0,1.0,56.23,Below Average,,,,Fail,,2026-03-26 00:33:49
65,Nameirakpam Surjakanta,,,,Male,16,76.37,5.4,98.69,52.56,8.2,Yes,2,4.4,Master,Low,No,No,No,8.7,3.8,91.14,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
66,Angom Ibemhal,,,,Female,20,75.86,5.9,95.27,84.38,3.8,No,5,12.1,PhD,High,Yes,No,No,9.0,2.9,90.1,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
67,Loitongbam Tombi,,,,Female,20,87.58,5.3,95.37,34.96,1.7,Yes,5,11.2,PhD,Low,Yes,No,No,3.7,6.9,82.83,Average,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
68,Sapam Ratankumar,,,,Male,17,79.3,6.7,58.16,76.23,9.4,No,4,7.6,PhD,Medium,Yes,No,No,6.9,2.2,88.67,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
69,Potsangbam Thoibi,,,,Female,16,99.53,7.8,62.82,86.64,4.6,No,2,17.3,Master,Low,Yes,No,No,3.5,3.6,92.93,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
70,Rajkumari Sanatombi,,,,Female,15,57.03,3.9,79.39,77.1,8.1,Yes,5,13.2,Bachelor,High,Yes,No,No,7.9,4.0,84.69,Average,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
71,Nameirakpam Priyabala,,,,Female,20,61.55,3.0,94.55,64.81,3.5,No,6,14.4,High School,Low,No,No,No,2.1,1.0,61.78,Below Average,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
72,Sapam Memchoubi,,,,Female,19,63.03,7.4,39.94,96.52,6.8,Yes,1,3.0,Bachelor,Medium,Yes,No,No,7.9,1.4,69.97,Below Average,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
73,Luwang Nimai,,,,Male,23,67.95,7.7,51.3,51.0,8.9,Yes,2,17.7,High School,Medium,Yes,No,Yes,5.0,3.8,88.18,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
74,Luwang Reena,Luwang Ongbi,parent74@example.com,78 School Area,Imphal,Female,15,90.16,3.8,39.75,31.34,1.4,No,2,3.3,Master,Low,No,Yes,No,8.7,3.0,48.95,At Risk,,,,Fail,,2026-03-26 00:33:49
75,Nongmaithem Oken,,,,Male,21,54.15,6.5,72.84,60.24,8.5,No,2,4.5,Bachelor,Medium,Yes,No,No,7.7,2.1,61.97,Below Average,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
76,Nongmaithem Bembem,,,,Female,19,86.56,4.2,51.44,32.31,6.1,Yes,3,2.6,Bachelor,Low,Yes,No,No,4.4,2.4,60.57,Below Average,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
77,Yengkhom Sanalembi,,,,Female,19,64.32,2.9,52.83,96.78,6.5,No,1,8.8,High School,Medium,Yes,No,Yes,9.1,8.5,86.23,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
78,Panmei Ibemhal,,,,Female,16,76.11,9.6,34.96,44.69,5.7,Yes,4,17.8,Bachelor,Medium,Yes,No,No,3.6,7.1,93.29,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
79,Yengkhom Sanajaoba,,,,Male,17,77.95,13.1,54.49,85.22,8.9,Yes,2,5.0,Bachelor,Medium,No,Yes,No,9.7,5.4,104.18,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
80,Thokchom Thoibi,,,,Female,21,62.37,4.4,90.37,84.22,1.4,Yes,0,7.5,High School,High,Yes,Yes,No,7.9,9.2,118.84,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
81,Thokchom Ibungo,Thokchom Ongbi,parent81@example.com,34 College Gate,Imphal,Male,20,70.76,7.2,46.32,45.24,3.3,No,1,16.9,Bachelor,Medium,Yes,No,No,9.9,1.3,33.1,At Risk,,,,Fail,,2026-03-26 00:33:49
82,Okram Sunita,,,,Female,16,64.78,6.3,78.66,73.49,8.9,Yes,5,12.4,High School,Low,Yes,No,No,1.5,4.1,103.54,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
83,Okram Ibobi,,,,Male,20,44.15,1.5,74.07,33.37,7.8,Yes,5,15.0,Bachelor,Medium,Yes,No,No,3.5,8.4,67.35,Below Average,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
84,Maisnam Tombi,,,,Female,16,66.23,10.0,90.44,63.85,1.2,Yes,3,4.3,Bachelor,Medium,Yes,Yes,Yes,7.7,6.7,97.2,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
85,Maisnam Arunkumar,,,,Male,16,45.84,6.5,39.26,31.03,5.7,No,2,14.3,Master,High,Yes,No,Yes,9.3,9.8,71.52,Average,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
86,Keisham Sarat,,,,Male,16,64.3,12.6,98.43,94.48,5.8,Yes,1,4.6,Bachelor,Low,Yes,No,Yes,1.3,9.5,127.81,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
87,Keisham Sanatombi,,,,Female,17,75.58,3.8,70.78,98.33,4.6,Yes,2,19.7,Bachelor,Medium,Yes,Yes,Yes,1.0,2.5,77.28,Average,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
88,Thiyam Sunil,,,,Male,16,74.76,5.2,99.68,45.56,3.7,Yes,3,11.2,PhD,High,Yes,Yes,No,3.3,9.7,112.21,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
89,Thiyam Bembem,,,,Female,18,79.76,2.9,93.81,44.57,7.1,No,3,13.9,Bachelor,High,Yes,Yes,No,8.7,9.5,102.13,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
90,Sanasam Priyabala,,,,Female,23,45.72,5.4,45.51,82.76,2.9,No,5,2.4,Bachelor,Medium,Yes,Yes,No,7.9,4.4,76.72,Average,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
91,Konthoujam Memchoubi,,,,Female,20,79.13,5.1,33.93,47.74,8.2,Yes,3,5.0,Bachelor,Low,Yes,Yes,No,4.1,9.8,88.66,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
92,Longjam Reena,,,,Female,15,58.73,1.2,47.89,92.66,8.2,No,2,2.8,Master,Low,Yes,Yes,No,1.0,1.3,93.68,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
93,Huidrom Sanalembi,,,,Female,22,63.94,15.4,66.93,70.18,4.7,Yes,5,7.8,Bachelor,Low,Yes,No,No,6.0,6.9,77.4,Average,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
94,Ngangbam Ibemhal,,,,Female,21,91.48,2.4,42.01,54.55,3.6,No,3,5.7,Bachelor,High,Yes,Yes,No,3.1,3.4,60.57,Below Average,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
95,Meisnam Thoibi,,,,Female,24,40.54,7.3,41.72,88.29,3.6,Yes,4,14.7,Master,Low,Yes,Yes,Yes,7.7,2.2,71.04,Average,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
96,Koijam Tombi,,,,Female,17,75.3,6.4,62.38,64.54,5.3,Yes,4,2.2,High School,Medium,Yes,Yes,No,5.0,6.2,100.9,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
97,Takhellambam Bembem,,,,Female,15,75.92,12.0,32.33,93.81,7.5,Yes,4,15.0,Master,Medium,Yes,No,Yes,7.1,3.8,104.1,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
98,Shijagurumayum Sanatombi,,,,Female,19,63.8,13.0,38.53,94.96,4.2,No,5,0.9,Bachelor,Medium,No,No,No,8.7,7.0,84.4,Average,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
99,Sagolband Priyabala,,,,Female,18,54.22,2.6,59.11,41.58,6.5,No,4,4.0,Bachelor,Medium,Yes,Yes,No,5.8,5.9,75.38,Average,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
100,Sanasam Suresh,,,,Male,24,54.08,3.1,34.42,30.16,4.4,Yes,4,15.8,Master,Medium,No,No,No,4.0,4.5,60.48,Below Average,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
101,Longjam Lokendro,Longjam Ongbi,parent101@example.com,56 University Area,Imphal,Male,22,93.02,8.1,57.77,98.88,3.7,No,0,14.9,High School,Medium,Yes,No,Yes,7.9,2.6,55.54,Below Average,,,,Fail,,2026-03-26 00:33:49
102,Phurailatpam Memchoubi,,,,Female,15,66.52,3.0,63.18,93.43,1.2,Yes,4,9.5,Master,Low,No,Yes,No,3.4,6.4,78.27,Average,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
103,Salam Reena,,,,Female,24,59.85,16.5,61.59,33.88,1.0,Yes,2,1.0,PhD,Medium,Yes,No,No,9.0,8.5,75.14,Average,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
104,Usham Sanalembi,,,,Female,15,66.93,7.0,90.84,88.31,3.0,Yes,5,12.2,Bachelor,High,Yes,No,Yes,1.6,6.4,112.46,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
105,Khomdram Ibemhal,,,,Female,18,80.16,10.4,67.1,62.05,4.7,No,5,8.1,PhD,High,No,Yes,Yes,8.5,6.5,105.15,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
106,Laifungbam Thoibi,,,,Female,22,48.75,3.0,62.76,48.13,8.7,No,2,6.3,High School,Medium,Yes,No,No,1.8,5.6,98.15,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
107,Mangangcha Tombi,,,,Female,19,66.97,10.3,58.75,91.51,8.2,Yes,4,12.8,Master,Medium,Yes,No,Yes,1.5,4.5,109.47,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
108,Chakpram Bembem,,,,Female,16,75.27,1.9,87.23,43.77,3.4,Yes,0,8.7,Bachelor,Medium,Yes,No,No,4.3,5.1,89.24,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
109,Taorem Ibemhal,,,,Female,20,96.92,5.9,92.65,96.31,3.2,Yes,2,1.8,Bachelor,Medium,Yes,Yes,No,9.6,9.9,118.85,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
110,Huidrom Sadananda,,,,Male,19,55.15,5.8,89.73,44.39,3.0,Yes,0,18.3,High School,High,Yes,No,No,9.9,7.7,75.88,Average,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
111,Yumkham Thoibi,,,,Female,16,61.56,12.1,77.15,72.96,4.1,Yes,6,15.6,Bachelor,Medium,Yes,No,Yes,2.8,4.9,86.99,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
112,Ngangbam Dinesh,,,,Male,17,62.76,3.4,39.62,45.62,5.5,Yes,4,1.1,High School,Low,Yes,Yes,No,2.3,5.1,68.87,Below Average,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
113,Nongthombam Tombi,,,,Female,23,76.33,15.6,49.38,68.2,4.9,Yes,5,10.5,PhD,High,Yes,No,No,4.2,5.5,85.37,Excellent,Pass,,,,,2026-03-26 00:33:49,2026-03-26 00:33:49
